,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_gamma,param_degree,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1
71,0.0019284725189208985,0.00019756121348125163,0.004268646240234375,4.888685613315518e-05,1,poly,0.1,3,"{'C': 1, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}",0.967741935483871,0.967741935483871,1.0,0.9666666666666667,0.9333333333333333,0.9670967741935484,0.02108843126388174,1,1.0,1.0,1.0,1.0,0.8888888888888888,0.9777777777777779,0.04444444444444447,1,0.8888888888888888,0.8888888888888888,1.0,0.8888888888888888,0.8888888888888888,0.9111111111111111,0.04444444444444447,3,0.9411764705882353,0.9411764705882353,1.0,0.9411764705882353,0.8888888888888888,0.9424836601307188,0.03517287332568292,1
72,0.0019315242767333984,0.00018810616085674557,0.004244756698608398,7.604968189035179e-05,1,poly,1,3,"{'C': 1, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}",0.967741935483871,0.967741935483871,1.0,0.9666666666666667,0.9333333333333333,0.9670967741935484,0.02108843126388174,1,1.0,1.0,1.0,1.0,0.8888888888888888,0.9777777777777779,0.04444444444444447,1,0.8888888888888888,0.8888888888888888,1.0,0.8888888888888888,0.8888888888888888,0.9111111111111111,0.04444444444444447,3,0.9411764705882353,0.9411764705882353,1.0,0.9411764705882353,0.8888888888888888,0.9424836601307188,0.03517287332568292,1
73,0.0023470401763916017,0.0001350207503249405,0.004746150970458984,0.0004071812813301785,1,poly,0.001,5,"{'C': 1, 'degree': 5, 'gamma': 0.001, 'kernel': 'poly'}",0.967741935483871,0.9032258064516129,0.8387096774193549,0.9666666666666667,0.8333333333333334,0.9019354838709678,0.05869589030284615,108,0.9,0.875,0.7,1.0,0.75,0.845,0.1077032961426901,110,1.0,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.6666666666666666,0.8222222222222222,0.11331154474650633,90,0.9473684210526316,0.823529411764706,0.7368421052631577,0.9411764705882353,0.7058823529411765,0.8309597523219814,0.10025607255979739,108
74,0.002525043487548828,3.583182981752838e-05,0.004847478866577148,0.00011216507401966462,1,poly,0.01,5,"{'C': 1, 'degree': 5, 'gamma': 0.01, 'kernel': 'poly'}",0.967741935483871,0.967741935483871,0.967741935483871,0.9666666666666667,0.9333333333333333,0.9606451612903226,0.013662262515499868,19,1.0,1.0,1.0,1.0,0.8888888888888888,0.9777777777777779,0.04444444444444447,1,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.888888888888889,1.1102230246251565e-16,28,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.8888888888888888,0.9307189542483659,0.020915032679738578,19
75,0.0023062705993652345,8.444467007572273e-05,0.004488706588745117,0.0003183071795527162,1,poly,0.1,5,"{'C': 1, 'degree': 5, 'gamma': 0.1, 'kernel': 'poly'}",0.967741935483871,0.967741935483871,0.967741935483871,0.9666666666666667,0.9333333333333333,0.9606451612903226,0.013662262515499868,19,1.0,1.0,1.0,1.0,0.8888888888888888,0.9777777777777779,0.04444444444444447,1,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.888888888888889,1.1102230246251565e-16,28,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.8888888888888888,0.9307189542483659,0.020915032679738578,19
76,0.002236175537109375,4.039444023662518e-05,0.004330635070800781,0.00011706978612173623,1,poly,1,5,"{'C': 1, 'degree': 5, 'gamma': 1, 'kernel': 'poly'}",0.967741935483871,0.967741935483871,0.967741935483871,0.9666666666666667,0.9333333333333333,0.9606451612903226,0.013662262515499868,19,1.0,1.0,1.0,1.0,0.8888888888888888,0.9777777777777779,0.04444444444444447,1,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.888888888888889,1.1102230246251565e-16,28,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.8888888888888888,0.9307189542483659,0.020915032679738578,19
77,0.0024212360382080077,4.7241448739411905e-05,0.00458836555480957,0.00024826905686256177,1,poly,0.001,7,"{'C': 1, 'degree': 7, 'gamma': 0.001, 'kernel': 'poly'}",0.967741935483871,0.8064516129032258,0.8064516129032258,0.8666666666666667,0.8333333333333334,0.8561290322580645,0.06003968318104719,111,0.9,0.6363636363636364,0.6363636363636364,0.7777777777777778,0.75,0.7401010101010101,0.09859827707841738,115,1.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.7999999999999999,0.10886621079036347,110,0.9473684210526316,0.7000000000000001,0.7000000000000001,0.7777777777777778,0.7058823529411765,0.7662057103543172,0.09524614439298557,111
78,0.0026298999786376954,0.00015613512686402355,0.00536956787109375,0.0009276071304541746,1,poly,0.01,7,"{'C': 1, 'degree': 7, 'gamma': 0.01, 'kernel': 'poly'}",1.0,0.9354838709677419,0.9354838709677419,0.9666666666666667,0.9333333333333333,0.9541935483870969,0.026034831742660757,41,1.0,1.0,1.0,1.0,0.8888888888888888,0.9777777777777779,0.04444444444444447,1,1.0,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.8666666666666666,0.0831479419283098,67,1.0,0.8750000000000001,0.8750000000000001,0.9411764705882353,0.8888888888888888,0.9160130718954249,0.04855278810240875,63
79,0.0026343822479248046,4.3206446192027295e-05,0.004813194274902344,5.039291251312313e-05,1,poly,0.1,7,"{'C': 1, 'degree': 7, 'gamma': 0.1, 'kernel': 'poly'}",1.0,0.9354838709677419,0.9354838709677419,0.9666666666666667,0.9333333333333333,0.9541935483870969,0.026034831742660757,41,1.0,1.0,1.0,1.0,0.8888888888888888,0.9777777777777779,0.04444444444444447,1,1.0,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.8666666666666666,0.0831479419283098,67,1.0,0.8750000000000001,0.8750000000000001,0.9411764705882353,0.8888888888888888,0.9160130718954249,0.04855278810240875,63
80,0.002553892135620117,0.00017589283773126386,0.004563379287719727,0.00021750964473393901,1,poly,1,7,"{'C': 1, 'degree': 7, 'gamma': 1, 'kernel': 'poly'}",1.0,0.9354838709677419,0.9354838709677419,0.9666666666666667,0.9333333333333333,0.9541935483870969,0.026034831742660757,41,1.0,1.0,1.0,1.0,0.8888888888888888,0.9777777777777779,0.04444444444444447,1,1.0,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.8666666666666666,0.0831479419283098,67,1.0,0.8750000000000001,0.8750000000000001,0.9411764705882353,0.8888888888888888,0.9160130718954249,0.04855278810240875,63
